Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Andalucía;De 65 a 69 años;Mujeres;2018;6,265
Andalucía;De 70 a 74 años;Total;2021;12,931
Andalucía;De 70 a 74 años;Total;2020;16,715
Andalucía;De 70 a 74 años;Total;2019;12,322
Andalucía;De 70 a 74 años;Total;2018;11,452
Andalucía;De 70 a 74 años;Hombres;2021;21,309
Andalucía;De 70 a 74 años;Hombres;2020;27,702
Andalucía;De 70 a 74 años;Hombres;2019;18,859
Andalucía;De 70 a 74 años;Hombres;2018;17,437
Andalucía;De 70 a 74 años;Mujeres;2021;5,655
Andalucía;De 70 a 74 años;Mujeres;2020;7,17
Andalucía;De 70 a 74 años;Mujeres;2019;6,649
Andalucía;De 70 a 74 años;Mujeres;2018;6,259
Andalucía;De 75 a 79 años;Total;2021;20,985
Andalucía;De 75 a 79 años;Total;2020;17,308
Andalucía;De 75 a 79 años;Total;2019;15,469
Andalucía;De 75 a 79 años;Total;2018;10,346
Andalucía;De 75 a 79 años;Hombres;2021;38,998
Andalucía;De 75 a 79 años;Hombres;2020;27,316
Andalucía;De 75 a 79 años;Hombres;2019;23,635
Andalucía;De 75 a 79 años;Hombres;2018;18,358
Andalucía;De 75 a 79 años;Mujeres;2021;6,68
Andalucía;De 75 a 79 años;Mujeres;2020;9,331
Andalucía;De 75 a 79 años;Mujeres;2019;9,017
Andalucía;De 75 a 79 años;Mujeres;2018;4,094
Andalucía;De 80 a 84 años;Total;2021;29,973
Andalucía;De 80 a 84 años;Total;2020;19,889
Andalucía;De 80 a 84 años;Total;2019;16,023
Andalucía;De 80 a 84 años;Total;2018;19,267
Andalucía;De 80 a 84 años;Hombres;2021;58,675
Andalucía;De 80 a 84 años;Hombres;2020;37,402
Andalucía;De 80 a 84 años;Hombres;2019;29,132
Andalucía;De 80 a 84 años;Hombres;2018;37,608
Andalucía;De 80 a 84 años;Mujeres;2021;10,681
Andalucía;De 80 a 84 años;Mujeres;2020;8,113
Andalucía;De 80 a 84 años;Mujeres;2019;7,283
Andalucía;De 80 a 84 años;Mujeres;2018;7,047
Andalucía;De 85 a 89 años;Total;2021;19,555
Andalucía;De 85 a 89 años;Total;2020;28,208
Andalucía;De 85 a 89 años;Total;2019;10,748
Andalucía;De 85 a 89 años;Total;2018;22,855
Andalucía;De 85 a 89 años;Hombres;2021;50,39
Andalucía;De 85 a 89 años;Hombres;2020;57,992
Andalucía;De 85 a 89 años;Hombres;2019;25,642
