Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Mujeres;Total;Asturias (Principado de);Moderadamente grave;1,20
Mujeres;Total;Asturias (Principado de);Grave;0,77
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Ninguna;88,82
Mujeres;Total;Balears (Illes);Leve;6,03
Mujeres;Total;Balears (Illes);Moderada;4,63
Mujeres;Total;Balears (Illes);Moderadamente grave;0,52
Mujeres;Total;Balears (Illes);Grave;0,00
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Ninguna;85,68
Mujeres;Total;Canarias;Leve;10,16
Mujeres;Total;Canarias;Moderada;1,93
Mujeres;Total;Canarias;Moderadamente grave;1,09
Mujeres;Total;Canarias;Grave;1,14
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Ninguna;94,33
Mujeres;Total;Cantabria;Leve;1,62
Mujeres;Total;Cantabria;Moderada;2,73
Mujeres;Total;Cantabria;Moderadamente grave;0,86
Mujeres;Total;Cantabria;Grave;0,46
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Ninguna;72,54
Mujeres;Total;Castilla y León;Leve;17,32
Mujeres;Total;Castilla y León;Moderada;6,14
Mujeres;Total;Castilla y León;Moderadamente grave;2,72
Mujeres;Total;Castilla y León;Grave;1,30
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Ninguna;88,92
Mujeres;Total;Castilla-La Mancha;Leve;7,30
Mujeres;Total;Castilla-La Mancha;Moderada;2,30
Mujeres;Total;Castilla-La Mancha;Moderadamente grave;0,84
Mujeres;Total;Castilla-La Mancha;Grave;0,65
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Ninguna;84,66
Mujeres;Total;Cataluña;Leve;10,73
Mujeres;Total;Cataluña;Moderada;2,53
Mujeres;Total;Cataluña;Moderadamente grave;1,32
Mujeres;Total;Cataluña;Grave;0,76
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Ninguna;80,26
Mujeres;Total;Comunitat Valenciana;Leve;11,64
Mujeres;Total;Comunitat Valenciana;Moderada;3,69
Mujeres;Total;Comunitat Valenciana;Moderadamente grave;2,90
Mujeres;Total;Comunitat Valenciana;Grave;1,51
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Ninguna;84,75
Mujeres;Total;Extremadura;Leve;11,12
Mujeres;Total;Extremadura;Moderada;1,60
Mujeres;Total;Extremadura;Moderadamente grave;1,90
Mujeres;Total;Extremadura;Grave;0,63
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Ninguna;80,40
Mujeres;Total;Galicia;Leve;12,34
Mujeres;Total;Galicia;Moderada;3,66
Mujeres;Total;Galicia;Moderadamente grave;1,68
Mujeres;Total;Galicia;Grave;1,93
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Ninguna;82,65
Mujeres;Total;Madrid (Comunidad de);Leve;10,70
Mujeres;Total;Madrid (Comunidad de);Moderada;4,08
Mujeres;Total;Madrid (Comunidad de);Moderadamente grave;1,82
Mujeres;Total;Madrid (Comunidad de);Grave;0,74
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Ninguna;80,32
Mujeres;Total;Murcia (Región de);Leve;12,34
Mujeres;Total;Murcia (Región de);Moderada;4,16
Mujeres;Total;Murcia (Región de);Moderadamente grave;1,86
Mujeres;Total;Murcia (Región de);Grave;1,33
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Ninguna;87,56
Mujeres;Total;Navarra (Comunidad Foral de);Leve;8,31
Mujeres;Total;Navarra (Comunidad Foral de);Moderada;3,81
Mujeres;Total;Navarra (Comunidad Foral de);Moderadamente grave;0,22
Mujeres;Total;Navarra (Comunidad Foral de);Grave;0,09
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Ninguna;79,50
Mujeres;Total;País Vasco;Leve;12,99
Mujeres;Total;País Vasco;Moderada;3,76
Mujeres;Total;País Vasco;Moderadamente grave;2,73
Mujeres;Total;País Vasco;Grave;1,02
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Ninguna;81,81
Mujeres;Total;Rioja (La);Leve;12,12
Mujeres;Total;Rioja (La);Moderada;3,74
Mujeres;Total;Rioja (La);Moderadamente grave;2,00
Mujeres;Total;Rioja (La);Grave;0,33
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Ninguna;83,83
Mujeres;Total;Ceuta (Ciudad Autónoma de);Leve;12,20
Mujeres;Total;Ceuta (Ciudad Autónoma de);Moderada;3,08
Mujeres;Total;Ceuta (Ciudad Autónoma de);Moderadamente grave;0,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Grave;0,89
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Ninguna;86,36
Mujeres;Total;Melilla (Ciudad Autónoma de);Leve;10,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Moderada;1,44
Mujeres;Total;Melilla (Ciudad Autónoma de);Moderadamente grave;1,14
Mujeres;Total;Melilla (Ciudad Autónoma de);Grave;1,07
